variable,release_year,n_counties,n_missing,pct_missing
hs_graduation_rate,2012,3134,33,1.1
hs_graduation_rate,2013,3134,35,1.1
hs_graduation_rate,2014,3134,452,14.4
hs_graduation_rate,2015,3134,470,15.0
hs_graduation_rate,2016,3134,505,16.1
hs_graduation_rate,2017,3136,473,15.1
hs_graduation_rate,2018,3135,471,15.0
hs_graduation_rate,2019,3135,100,3.2
hs_graduation_rate,2020,3135,97,3.1
hs_graduation_rate,2021,3135,556,17.7
hs_graduation_rate,2022,3135,659,21.0
hs_graduation_rate,2023,3135,831,26.5
hs_graduation_rate,2024,3136,677,21.6
hs_graduation_rate,2025,3136,647,20.6
uninsured_adults_raw,2012,3134,2,0.1
uninsured_adults_raw,2013,3134,2,0.1
uninsured_adults_raw,2014,3134,2,0.1
uninsured_adults_raw,2015,3134,2,0.1
uninsured_adults_raw,2016,3134,2,0.1
uninsured_adults_raw,2017,3136,9,0.3
uninsured_adults_raw,2018,3135,2,0.1
uninsured_adults_raw,2019,3135,2,0.1
uninsured_adults_raw,2020,3135,2,0.1
uninsured_adults_raw,2021,3135,2,0.1
uninsured_adults_raw,2022,3135,2,0.1
uninsured_adults_raw,2023,3135,2,0.1
uninsured_adults_raw,2024,3136,2,0.1
uninsured_adults_raw,2025,3136,2,0.1
income_inequality,2012,3134,3134,100.0
income_inequality,2013,3134,3134,100.0
income_inequality,2014,3134,3134,100.0
income_inequality,2015,3134,1,0.0
income_inequality,2016,3134,2,0.1
income_inequality,2017,3136,10,0.3
income_inequality,2018,3135,3,0.1
income_inequality,2019,3135,1,0.0
income_inequality,2020,3135,3,0.1
income_inequality,2021,3135,2,0.1
income_inequality,2022,3135,7,0.2
income_inequality,2023,3135,8,0.3
income_inequality,2024,3136,16,0.5
income_inequality,2025,3136,22,0.7
poverty_rate,2012,3134,2,0.1
poverty_rate,2013,3134,3062,97.7
poverty_rate,2014,3134,3062,97.7
poverty_rate,2015,3134,3062,97.7
poverty_rate,2016,3134,3062,97.7
poverty_rate,2017,3136,3064,97.7
poverty_rate,2018,3135,3063,97.7
poverty_rate,2019,3135,3063,97.7
poverty_rate,2020,3135,3063,97.7
poverty_rate,2021,3135,2,0.1
poverty_rate,2022,3135,2,0.1
poverty_rate,2023,3135,2,0.1
poverty_rate,2024,3136,2,0.1
poverty_rate,2025,3136,2,0.1
unemployment_rate,2012,3134,2,0.1
