variable,n_missing,pct_missing
poverty_rate,24513,55.85353627415239
child_poverty_rate,18835,42.916059059423986
pct_black,18828,42.900109369303685
pct_aian,18828,42.900109369303685
income_inequality,9477,21.593601895734597
severe_housing_rate,6287,14.325100255195041
hs_graduation_rate,6006,13.684834123222748
pct_white,3155,7.188753189938024
pct_rural,64,0.14582573824279985
single_parent_rate,42,0.09569814072183741
median_income,38,0.08658403208166242
unemployment_rate,36,0.08202697776157492
uninsured_adults_raw,35,0.07974845060153117
uninsured_raw,35,0.07974845060153117
some_college_rate,23,0.052406124681006194
pct_65plus,22,0.05012759752096245
population,22,0.05012759752096245
pct_hispanic,22,0.05012759752096245
pct_asian,22,0.05012759752096245
pct_under18,22,0.05012759752096245
