variable,first_year,last_year,years_present,overall_pct_nonmiss,group
child_poverty_rate,2012,2025,14,99.9,Core
median_income,2012,2025,14,99.9,Core
pct_65plus,2012,2025,14,100.0,Core
pct_aian,2012,2025,14,100.0,Core
pct_asian,2012,2025,14,100.0,Core
pct_black,2012,2025,14,100.0,Core
pct_hispanic,2012,2025,14,100.0,Core
pct_rural,2012,2025,14,99.9,Core
pct_under18,2012,2025,14,100.0,Core
population,2012,2025,14,100.0,Core
single_parent_rate,2012,2025,14,99.9,Core
some_college_rate,2012,2025,14,100.0,Core
unemployment_rate,2012,2025,14,99.9,Core
uninsured_adults_raw,2012,2025,14,100.0,Core
uninsured_raw,2012,2025,14,100.0,Core
hs_graduation_rate,2012,2025,14,86.3,Partial
income_inequality,2015,2025,11,78.4,Partial
pct_white,2013,2025,13,92.8,Partial
severe_housing_rate,2014,2025,12,85.7,Partial
