feature,true_pooled_coef,true_pooled_se,true_pooled_pvalue,pooled_coef,pooled_se,pooled_pvalue,fe_coef,fe_se,fe_pvalue,change_pooled_to_fe,sign_flip_pooled_to_fe
pct_65plus,-0.004002641215223753,0.009815147725160851,0.6834212584831576,0.003565942141445509,0.003209209796000792,0.26650771283960606,-0.011259039833356606,0.0037209864264070008,0.00248160500915362,-0.014824981974802115,True
pct_under18,0.0035966649767096522,0.011377290385557749,0.7519082788945104,0.002704048722281393,0.0024966941284019833,0.278793087848781,-0.0028050400716759867,0.0022683278408460817,0.21624067983548678,-0.0055090887939573795,True
some_college_rate,-0.006884920136944476,0.012935664221991654,0.5945609603095412,-0.011297680073257732,0.0020564440865208215,3.961735139945688e-08,-0.002340534548762012,0.0006127800827650937,0.00013396225882211787,0.00895714552449572,False
pct_asian,-0.006486892555293914,0.02590469032613258,0.8022688360015902,-0.012442579421492265,0.006611195716922312,0.05983810631820852,0.0003093280447871169,0.008186972945201371,0.9698609745852618,0.012751907466279381,True
single_parent_rate,-0.005639382428101475,0.005487154505059074,0.3040781512534747,-0.009556387022232535,0.0014087600010960215,1.191580167869688e-11,0.0008097132524390001,0.0006124106539396152,0.18611999963830428,0.010366100274671535,True
median_income,-0.017360319143223432,0.013028283507098814,0.18270145759030876,-0.005936932115101505,0.002702717444153849,0.028051894748399864,0.0010778354004509522,0.002306857769190147,0.6403378941828399,0.007014767515552457,True
pct_aian,-0.012878213408617075,0.051101900940866835,0.8010344868130526,-0.01801137794651782,0.017692573469537856,0.3086760358451617,0.0026846811643222346,0.023429918815518008,0.9087760266583551,0.020696059110840055,True
pct_rural,0.00896213964379559,0.010970878870849451,0.41398974086464335,0.006618206100685123,0.0025524511402352577,0.009521555163076734,0.003526398173793258,0.0012518142985840873,0.004850042959611889,-0.003091807926891865,False
unemployment_rate,0.0014815570280694345,0.009486019767599304,0.8758895265055948,-0.01171827034053918,0.002513252790889693,3.134243755420485e-06,0.003748448312875685,0.0017311288490141328,0.03037071299916949,0.015466718653414865,True
child_poverty_rate,0.0036783493092442956,0.014359720635972689,0.7978308005678514,0.009955374118104366,0.0041939186489218395,0.01761324956043797,0.005099588419015437,0.00161667085857579,0.0016099386199130983,-0.004855785699088929,False
pct_nh_white,-0.05111337241297309,0.1470975172678474,0.7282332395695947,-0.07544482153426178,0.04706313800871345,0.10893158968895511,0.009635916031259094,0.04074438765004021,0.8130487644934123,0.08508073756552087,True
pct_hispanic,-0.010362967975293853,0.09850979579716167,0.9162198388762808,-0.024374736597179075,0.03204225012505294,0.4468378194055367,0.013016895606283893,0.03142561137452786,0.678720992367261,0.03739163220346297,True
pct_black,-0.02890158910274368,0.10593647584409281,0.7849932243129569,-0.04003202374377012,0.03336858397289389,0.23026724150234235,0.01733441461624852,0.03060671917962268,0.5711533006802445,0.057366438360018646,True
