feature,overall_sd,between_sd,within_sd,within_over_overall_ratio
unemployment_rate,0.02210211671555794,0.016825181942454866,0.014462557035712644,0.6543516723686595
single_parent_rate,0.11130883465748008,0.09463691283938543,0.05623585920427595,0.5052236812767389
median_income,15330.619920510208,13684.816854591498,6932.342563024188,0.4521893177815785
child_poverty_rate,0.08993878223159404,0.08566781478838288,0.02720889451723371,0.3025268281615188
some_college_rate,0.11784612776965912,0.11214057994339202,0.03195949109043119,0.27119678597245805
pct_65plus,0.04824011475120315,0.04640662021959887,0.013069942594239237,0.27093514726586054
pct_under18,0.03454075119971159,0.034356091493691635,0.0058535369323296825,0.16946756306731856
pct_rural,0.31923817343392225,0.3153360225676075,0.02664577998355947,0.08346677246314582
pct_asian,0.029278389968365626,0.029123283199391153,0.0016214247906598995,0.05537957491555368
pct_nh_white,0.2010046303179916,0.20178538820610034,0.010814238128863327,0.053800940365180044
pct_hispanic,0.13800813451513155,0.1375331783701161,0.006800648372841963,0.04927715599326736
pct_black,0.14271490685891317,0.1424537013305902,0.0031754386270732987,0.022250223869133112
pct_aian,0.07449225584190595,0.08066939058517406,0.0013484663596842075,0.01810210127809852
