variable,first_year,last_year,n_years_present,n_years_full,overall_pct_obs,status
median_income,2012,2025,14,14,99.9,Core
pct_65plus,2012,2025,14,14,99.9,Core
pct_asian,2012,2025,14,14,99.9,Core
pct_hispanic,2012,2025,14,14,99.9,Core
pct_rural,2012,2025,14,14,99.9,Core
pct_under18,2012,2025,14,14,99.9,Core
population,2012,2025,14,14,99.9,Core
single_parent_rate,2012,2025,14,14,99.9,Core
some_college_rate,2012,2025,14,14,99.9,Core
unemployment_rate,2012,2025,14,14,99.9,Core
uninsured_adults_raw,2012,2025,14,14,99.9,Core
uninsured_raw,2012,2025,14,14,99.9,Core
hs_graduation_rate,2012,2025,14,4,86.3,Partial
income_inequality,2015,2025,11,11,78.4,Partial
pct_white,2013,2025,13,13,92.8,Partial
severe_housing_rate,2014,2025,12,12,85.7,Partial
child_poverty_rate,2013,2020,8,8,57.1,Sparse
pct_aian,2012,2019,8,8,57.1,Sparse
pct_black,2012,2019,8,8,57.1,Sparse
poverty_rate,2012,2025,14,6,44.1,Sparse
